Claim_ID,SKU,Failed_Component,Claim_Date,Days_In_Service,Repair_Cost,Resolution,Failure_Symptom
WC-00001,WCH-ORB-0003,Logic Board,2025-05-22,296,133.9,Refunded,Cracked/damaged
WC-00002,TAB-ZEN-0005,Logic Board,2025-10-16,975,148.51,Pending,Not charging
WC-00003,WCH-VOR-0017,Sensor Module,2024-01-18,394,49.16,Replaced,Not charging
WC-00004,LAP-EMB-0008,Battery,2024-12-06,309,69.68,Pending,Won't power on
WC-00005,LAP-EMB-0020,Battery,2024-03-18,212,124.19,Repaired,Overheating
WC-00006,WCH-NIM-0011,Display,2024-11-14,248,91.83,Replaced,Random shutdowns
WC-00007,WCH-VOR-0017,Display,2024-05-27,579,111.66,Repaired,Malfunctioning
WC-00008,PHN-NIM-0024,Logic Board,2026-05-07,212,197.1,Pending,Malfunctioning
WC-00009,LAP-SOL-0015,SSD Storage,2024-04-05,659,115.71,Repaired,Not charging
WC-00010,LAP-SOL-0017,Motherboard,2024-02-09,101,108.98,Replaced,Cracked/damaged
WC-00011,PHN-NIM-0008,Logic Board,2025-12-26,726,190.97,Repaired,Random shutdowns
WC-00012,LAP-VOR-0035,Display Panel,2024-07-04,217,332.59,Repaired,Cracked/damaged
WC-00013,WCH-ZEN-0018,Battery,2024-05-03,892,43.75,Refunded,Battery drains fast
WC-00014,TAB-NIM-0007,Battery,2024-08-26,509,79.52,Repaired,Overheating
WC-00015,WCH-NIM-0001,Logic Board,2024-07-03,929,110.86,Replaced,Battery drains fast
WC-00016,LAP-EMB-0008,Battery,2025-06-26,652,61.08,Pending,Won't power on
WC-00017,LAP-ZEN-0013,Motherboard,2025-04-07,464,307.07,Refunded,Malfunctioning
WC-00018,LAP-NIM-0032,Motherboard,2025-06-07,980,111.17,Repaired,Battery drains fast
WC-00019,LAP-NIM-0032,Battery,2024-06-28,719,114.75,Replaced,Won't power on
WC-00020,EAR-ORB-0016,Battery,2026-05-14,832,43.88,Repaired,Malfunctioning
WC-00021,WCH-NIM-0001,Sensor Module,2026-01-15,693,56.78,Repaired,Cracked/damaged
WC-00022,EAR-ORB-0013,Battery,2025-01-20,210,40.82,Replaced,Cracked/damaged
WC-00023,PHN-NIM-0026,Battery,2024-11-21,672,78.49,Refunded,Overheating
WC-00024,WCH-NIM-0011,Sensor Module,2025-08-10,893,57.6,Replaced,Battery drains fast
WC-00025,LAP-ORB-0036,Cooling Fan,2026-04-28,790,35.17,Replaced,Malfunctioning
WC-00026,PHN-ZEN-0002,Battery,2024-10-28,615,71.42,Replaced,Random shutdowns
WC-00027,LAP-ORB-0005,Cooling Fan,2025-08-26,810,39.88,Replaced,Malfunctioning
WC-00028,PHN-ORB-0028,OLED Display,2025-03-28,918,132.48,Pending,Cracked/damaged
WC-00029,TAB-NIM-0023,Logic Board,2024-04-09,51,284.99,Repaired,Random shutdowns
WC-00030,WCH-ZEN-0012,Logic Board,2025-11-01,279,112.44,Pending,Not charging
WC-00031,LAP-VOR-0010,Cooling Fan,2025-04-12,673,36.33,Pending,Random shutdowns
WC-00032,WCH-VOR-0008,Display,2024-02-17,782,146.08,Refunded,Won't power on
WC-00033,PHN-ORB-0028,Camera Module,2025-09-08,900,76.21,Repaired,Cracked/damaged
WC-00034,LAP-NIM-0004,Motherboard,2025-10-14,886,136.07,Replaced,Battery drains fast
WC-00035,LAP-NIM-0012,Battery,2025-05-04,41,76.32,Replaced,Unresponsive
WC-00036,LAP-EMB-0008,Battery,2025-04-20,630,74.41,Refunded,Cracked/damaged
WC-00037,TAB-ZEN-0005,Battery,2026-05-10,970,82.26,Replaced,Overheating
WC-00038,TAB-VOR-0017,Logic Board,2026-05-08,527,272.07,Repaired,Battery drains fast
WC-00039,PHN-NIM-0008,Battery,2026-05-28,819,34.93,Replaced,Unresponsive
